Polling Station No,P. KRISHNASAMY,DURAI. SENTHAMIL SELVAN B.E,NARMADHA. G.,VANATHI SRINIVASAN,K. UDHAYAKUMAR,V. SAMPATHKUMAR,S. SENTHILKUMAR,S. MEENAKSHI SUNDARAM,K. RAGHUL GANDHI,RAJASEKARAN. B.,G.D. KRISHNAKUMAR,V. KRISHNAN,R. SATHISH KUMAR,K. SAMPATH KUMAR,S. SAMPATHKUMAR,R. SAMPATH KUMAR,P. SARAVANAN,A.K. SENTHAMIZH SELVAN,R. SETHURAGUNATHAN,S. DHANA RAJ,PALANIKUMAR. V.,BALU. P.M.,R. MANIAN,A. MARIMUTHU,A. RAMESH,RAVI. V,G. RAJKUMAR,V. LINGARAJA,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
155,1,187,36,200,1,325,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,755,0,2,757,0
156,3,180,29,174,2,375,1,1,1,0,0,1,1,0,2,0,0,3,0,0,0,1,0,0,0,1,1,0,776,0,5,781,0
157,1,139,24,170,1,272,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,2,0,0,0,1,0,0,615,0,2,617,0
158,2,186,46,120,2,347,0,1,0,0,0,0,2,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,712,0,6,718,0
159,1,235,24,130,2,338,1,0,0,0,0,1,0,0,0,3,1,4,0,2,3,3,0,0,0,0,0,2,750,0,3,753,0
160,1,211,34,97,1,436,1,0,1,1,0,0,0,0,1,0,0,3,0,0,1,2,0,0,0,0,0,0,790,0,3,793,0
161,2,197,32,142,4,261,0,0,0,0,0,0,0,0,2,2,1,1,0,1,3,0,0,0,0,0,0,0,648,0,1,649,0
162,0,245,24,143,1,299,1,0,0,0,0,0,0,2,0,0,0,2,0,1,1,1,0,0,0,0,0,0,720,0,1,721,0
163,1,207,23,126,1,291,1,0,0,0,0,0,0,0,1,0,1,2,0,1,0,0,0,0,0,1,0,0,656,0,2,658,0
164,ge 2 0,223,35,169,0,316,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,0,1,0,0,0,750,0,1,751,0
165,0,192,21,129,0,299,0,0,0,0,0,0,0,0,0,2,2,3,0,0,1,2,0,2,0,0,0,0,653,0,2,655,0
166,1,175,22,85,1,306,2,0,0,0,0,0,0,1,0,1,1,1,0,0,0,2,0,0,0,0,0,0,598,0,2,600,0
167,1,251,22,81,1,323,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683,0,2,685,0
168,1,241,32,124,2,383,0,0,0,0,1,0,0,0,0,2,0,1,0,4,0,3,0,0,0,1,0,1,796,0,2,798,0
169,1,263,26,97,1,375,1,0,0,0,1,1,0,0,0,0,1,4,1,1,0,4,3,0,2,0,0,1,783,0,3,786,1
170,2,309,27,85,1,327,0,0,0,0,1,0,1,2,4,1,1,2,0,1,3,1,1,0,0,1,0,0,770,0,4,774,0
