Polling Station No,G.HARI,D.KRISHNAMURTHY,CHANDRAN .S.S,MUTHURAJ.G,M.SATHYA KUMAR,BALAJI.A,PAVENDHAN.Y.R,KRISHNAMOORTHY.K,KRISHNAMOORTHY.D,KRISHNAMOORTHY.M,SHETTU.S,DR.A.V.NARENDRAN,JAMBU.B,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
180,405,207,29,2,364,3,0,0,1,2,2,0,0,1015,0,4,1019,0
181,169,171,27,1,346,4,1,0,3,1,0,0,2,725,0,3,728,0
182,189,108,18,0,135,0,0,1,3,3,0,0,0,457,0,3,460,0
183,225,151,24,1,204,0,0,0,1,0,1,0,0,607,0,4,611,0
184,383,166,40,0,220,0,0,0,0,3,0,1,2,815,0,6,821,0
185,429,216,19,6,372,2,0,2,1,4,1,0,0,1052,0,5,1057,0
186,310,111,3,0,107,0,1,0,0,1,0,0,3,536,0,3,539,0
187,279,201,13,0,194,0,0,1,0,1,0,0,1,690,0,1,691,0
188,246,291,18,2,341,0,0,0,2,1,0,0,1,902,0,2,904,0
189,348,90,8,0,113,0,1,0,2,2,0,0,0,564,0,6,570,0
190,300,147,21,0,163,1,0,0,0,5,0,3,0,640,0,3,643,0
191,221,177,33,0,243,1,0,0,0,5,0,1,2,683,0,2,685,0
192,e 1451,121,19,3,324,0,1,0,0,1,0,1,0,621,0,2,623,0
193,229,129,13,1,341,3,0,0,2,1,0,1,0,720,0,6,726,0
194,390,129,9,0,121,0,0,0,0,2,0,0,1,652,0,3,655,0
195,163,129,13,0,199,2,1,0,2,1,0,1,4,515,0,1,516,0
196,437,171,24,4,209,2,0,2,1,4,2,1,0,857,0,5,862,0
197,426,155,13,0,145,0,1,1,2,2,0,0,4,749,0,2,751,0
198,229,154,10,0,146,1,0,0,0,2,1,0,2,545,0,4,549,0
199,417,197,15,0,93,0,0,0,3,2,0,0,5,732,0,4,736,0
200,343,166,20,3,270,2,2,0,2,4,0,2,1,815,0,4,819,0
201,289,112,6,1,109,0,0,0,0,1,0,0,0,518,0,2,520,0
202,294,157,5,1,216,0,0,0,3,4,1,0,0,681,0,7,688,0
203,214,228,19,3,419,1,0,0,0,5,0,1,0,890,0,1,891,0
