Polling Station No,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Candidate_6,Candidate_7,Candidate_8,Candidate_9,Candidate_10,Candidate_11,Candidate_12,Candidate_13,Candidate_14,Candidate_15,Candidate_16,Candidate_17,Candidate_18,Candidate_19,Candidate_20,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
211,211,14,348,115,2,1,225,1,0,1,0,0,0,0,4,0,0,0,1,0,712,0,2,714,0
212,212,12,487,6,0,1,72,0,0,0,0,1,0,0,0,0,1,0,0,0,580,0,2,582,0
213,213,15,379,58,0,16,127,0,0,0,0,0,0,1,1,0,0,0,1,0,598,0,5,603,0
214,214,5,508,21,0,0,70,0,0,0,0,1,0,0,1,0,0,0,0,0,606,0,3,609,0
215,215,10,266,27,0,2,134,0,0,0,0,0,0,0,2,2,0,0,0,0,443,0,2,445,0
216,216,7,400,5,0,0,55,0,1,0,0,0,0,0,0,0,0,0,0,1,469,0,2,471,0
217,217,10,460,32,1,2,136,0,0,1,0,0,0,0,0,0,0,0,0,0,642,0,1,643,0
218,218,20,388,22,1,1,165,1,0,0,0,1,0,0,0,0,0,0,1,1,601,0,3,604,0
219,219,54,391,30,0,5,308,0,0,0,0,0,0,1,2,1,0,0,1,0,793,0,3,796,0
220,220,10,169,133,0,0,258,0,0,0,0,3,0,0,1,3,1,0,2,0,580,0,1,581,0
221,221,29,270,99,0,2,296,2,0,0,0,0,0,1,0,0,0,0,0,0,699,0,0,699,0
222,222,29,217,119,1,1,346,1,2,0,0,1,0,0,0,0,0,0,2,1,720,0,5,725,0
223,223,18,150,188,0,3,394,1,0,0,1,2,0,0,2,1,1,0,2,1,764,0,2,766,0
224,224,13,344,58,1,0,523,0,1,1,2,2,0,0,2,0,1,0,1,0,949,0,2,951,0
225,225,8,228,89,3,2,300,0,0,1,0,0,0,0,1,0,0,0,0,0,632,0,1,633,0
