Polling Station No,KAMARAJ. R,THENMOZHI DILIPKUMAR,MOHAMED MUBARAK,SIVARAMAN. T,TAMILSELVAN. M,PRABHAKARAN. S,RAJA. S,SANKAR. R,SHANMUGARAJA. D,SURESH. V,BHARATHIMOHAN. K.S,MOHUMED RIYAS. K,RAVICHANDRAN. R,RAJASEKAR. R,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
107,269,11,185,0,0,113,2,0,0,0,1,0,1,0,582,0,4,586,0
108,195,10,106,1,1,90,0,1,0,0,0,0,0,0,404,0,4,408,0
109,389,21,139,0,0,137,0,0,0,0,1,1,2,0,690,0,1,691,0
110,465,30,208,2,1,156,0,0,0,0,1,2,4,1,870,0,2,872,0
111,273,11,174,1,1,110,13,0,0,0,0,1,1,0,585,0,3,588,0
112,109,17,239,0,0,45,0,0,0,0,0,1,1,0,412,0,0,412,0
113,372,31,182,0,0,158,1,1,0,0,0,2,2,0,749,0,1,750,0
114,350,32,187,0,1,135,0,0,0,0,0,0,0,1,706,0,3,709,0
115,327,17,125,0,1,101,0,0,0,0,0,0,0,3,574,0,2,576,0
116,331,18,181,0,1,115,1,0,0,0,0,2,1,0,650,0,4,654,0
117,344,21,178,0,0,86,0,0,0,0,0,1,1,0,631,0,3,634,0
118,423,10,172,0,0,110,3,0,0,0,0,0,0,0,718,0,1,719,0
