Polling Station No,THARUN. A.K,RAJESHKUMAR. S,SRI BALAJI SUGUMAR. S,ANBAZHAGAN. P,SAKTHIVEL. M,PALANIVEL. M.S,BRAMAMOORTHI. M,INDRAJITH GUPTHA. G,KAVITHA. M.P,KARTHI. R,GOPI. R,GOPINATH. B,SENTHILKUMAR. M,TAMILARASAN. D,DEVENDHIRAPRABU. M,PALANISAMY. P,PRABHU. V,RANGANATHAN. D,VAIDESSWARA PRASAD. N,JAYAVEL. M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
155,306,16,300,0,1,310,0,0,1,0,0,0,0,0,0,4,0,0,0,1,939,0,2,941,0
156,258,25,202,2,1,166,0,0,0,0,0,0,0,0,0,1,1,0,0,0,656,0,2,658,0
157,176,17,220,2,0,214,0,0,0,0,0,0,2,0,0,0,0,0,1,0,632,0,1,633,0
158,171,17,305,2,0,323,0,1,0,0,0,2,1,2,1,1,1,0,1,0,828,0,2,830,0
159,280,26,181,1,2,423,0,1,0,0,0,0,2,2,2,2,1,0,0,0,923,0,0,923,0
160,288,35,331,2,0,421,1,1,0,0,0,1,2,2,0,2,0,0,2,0,1088,0,8,1096,0
161,269,38,377,2,0,280,0,0,0,2,1,0,1,0,1,5,1,0,0,1,978,0,3,981,0
162,240,26,272,1,0,270,0,1,1,1,2,0,4,0,1,3,0,0,0,0,822,0,3,825,0
163,176,11,228,3,1,245,0,0,0,0,4,0,0,0,2,2,1,0,0,0,673,0,1,674,0
164,373,23,267,2,2,328,0,1,0,1,0,1,0,0,0,1,2,0,0,0,1001,0,3,1004,0
165,267,23,236,0,2,249,0,0,0,0,0,1,1,1,0,1,1,0,1,0,783,0,2,785,0
166,335,25,216,0,2,223,2,0,0,0,0,0,1,0,0,1,1,0,0,2,808,0,2,810,0
167,362,24,216,0,2,255,0,1,0,0,2,0,3,1,0,2,0,0,0,3,871,0,2,873,0
168,334,36,235,0,3,283,0,1,1,0,0,0,1,0,1,4,1,0,0,0,900,0,2,902,0
169,462,20,171,0,1,243,3,1,0,5,0,0,0,0,2,1,2,0,1,0,912,0,0,912,0
170,276,8,190,1,1,209,1,0,0,0,0,0,1,0,1,0,0,0,0,0,688,0,0,688,0
171,320,8,161,0,5,192,0,0,0,0,0,0,0,0,0,2,2,0,0,0,690,0,2,692,0
172,412,19,190,0,0,197,0,0,0,0,0,0,2,0,0,2,4,0,0,0,826,0,1,827,0
173,319,39,221,2,3,267,1,0,0,0,0,0,1,1,1,1,0,0,0,0,856,0,4,860,0
174,225,26,318,1,2,271,4,0,0,0,0,0,0,0,0,0,1,0,0,1,849,0,0,849,0
175,141,33,277,1,0,204,3,0,0,0,1,0,0,1,0,1,0,0,1,0,663,0,3,666,0
176,248,43,336,1,1,271,0,1,0,1,0,0,0,2,0,0,2,0,3,0,909,0,2,911,0
177,267,34,199,2,1,289,1,0,0,1,0,1,0,0,0,0,4,0,1,0,800,0,0,800,0
178,315,23,254,2,1,277,1,0,0,0,0,0,0,0,0,0,0,0,0,0,873,0,3,876,0
179,257,36,325,5,2,355,0,0,0,0,0,0,0,0,0,1,1,0,1,0,983,0,3,986,0
180,96,15,159,7,0,214,1,1,0,0,1,0,0,0,1,1,0,0,0,0,496,0,0,496,0
181,243,35,228,2,2,367,1,0,0,0,0,0,2,0,0,0,1,0,0,0,881,0,5,886,0
182,195,29,263,2,2,246,0,1,0,0,1,0,0,2,0,2,0,0,0,0,743,0,1,744,0
183,218,29,249,0,1,414,1,1,0,0,0,0,0,1,0,2,0,0,0,1,917,0,1,918,0
184,247,40,153,1,0,356,3,0,0,0,1,0,2,0,0,2,2,0,0,0,807,0,3,810,0
185,185,15,206,0,1,300,0,1,0,0,0,0,0,0,0,2,2,0,1,0,713,0,3,716,0
186,198,8,160,2,0,196,0,0,1,0,0,0,0,0,0,0,1,0,0,0,566,0,3,569,0
187,200,26,181,0,2,311,2,2,0,0,0,0,1,1,1,2,1,0,0,0,730,0,4,734,0
188,256,13,230,1,1,393,2,1,0,0,0,0,0,1,1,1,1,0,0,1,902,0,5,907,0
189,284,24,234,1,2,104,0,0,0,0,2,0,1,2,0,3,2,0,2,0,661,0,0,661,0
190,156,36,253,34,2,246,0,0,0,0,0,0,0,0,0,1,1,2,0,0,731,0,2,733,0
191,235,24,227,9,2,291,0,0,0,0,0,0,1,0,0,3,0,0,1,0,793,0,1,794,0
192,170,22,152,1,1,266,0,0,1,0,2,0,1,1,0,1,2,0,0,0,620,0,3,623,0
193,95,11,202,5,2,261,2,1,0,0,0,0,1,0,1,6,3,0,0,0,590,0,0,590,0
194,203,25,239,1,1,257,1,0,0,0,0,0,0,0,0,0,1,0,2,0,730,0,4,734,0
195,130,20,157,2,1,208,1,1,0,0,0,0,0,0,0,0,0,0,0,0,520,0,0,520,0
196,231,25,331,1,0,242,0,0,0,0,0,0,0,0,0,1,0,0,0,0,831,0,1,832,0
197,268,32,224,1,0,283,0,0,0,1,0,0,0,0,0,0,1,1,0,0,811,0,2,813,0
198,259,33,275,1,2,233,0,1,0,1,0,0,0,2,0,1,0,0,0,1,809,0,2,811,0
199,191,3,199,1,1,184,1,0,0,0,0,0,0,1,0,1,0,0,1,0,583,0,1,584,0
200,184,18,254,1,1,267,0,0,1,1,0,0,0,0,0,2,3,0,1,0,733,0,1,734,0
201,220,34,284,1,1,256,0,0,0,0,0,0,0,0,0,0,3,0,2,0,801,0,2,803,0
202,210,20,224,2,0,150,0,0,0,0,1,0,1,0,0,0,0,0,0,0,608,0,1,609,0
203,128,16,283,1,1,194,1,0,0,0,0,0,0,0,1,1,0,0,0,0,626,0,0,626,0
204,192,27,458,2,4,228,2,3,0,0,1,0,0,0,1,0,7,2,9,5,941,0,1,942,0
205,270,13,192,0,0,228,0,0,0,1,0,0,0,1,0,3,1,0,1,0,710,0,1,711,0
206,200,23,383,1,0,227,0,1,0,0,0,0,0,1,1,3,1,2,1,2,846,0,0,846,0
207,256,12,303,0,2,225,2,1,0,0,2,0,0,0,0,2,1,0,3,1,810,0,3,813,0
208,165,5,82,0,1,191,0,0,0,0,0,0,0,0,0,1,2,0,0,0,447,0,3,450,0
209,198,23,248,2,1,270,2,0,0,0,0,0,0,0,0,2,2,0,0,1,749,0,3,752,0
210,210,21,200,1,0,271,2,1,0,0,0,0,0,1,0,0,0,0,0,0,707,0,3,710,0
211,180,8,169,0,0,256,0,1,0,0,0,0,1,1,0,1,1,0,1,0,619,0,1,620,0
212,225,12,224,0,2,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,708,0,5,713,0
213,180,9,192,1,1,235,1,0,0,0,0,0,0,0,0,0,0,0,0,0,619,0,1,620,0
214,251,21,233,0,0,209,2,1,0,0,0,0,1,0,0,1,4,0,0,0,723,0,0,723,0
215,188,23,218,0,0,205,1,1,0,0,0,0,0,0,0,0,0,0,0,0,636,0,1,637,0
216,236,24,244,1,0,273,0,0,1,0,0,0,0,0,1,4,6,1,1,1,793,0,3,796,0
217,239,16,219,2,3,306,0,0,0,0,0,0,2,0,1,2,2,0,3,0,795,0,1,796,0
218,256,29,243,2,3,240,1,0,0,0,0,2,0,0,1,2,1,0,0,0,780,0,0,780,0
219,195,31,296,2,0,216,0,1,1,0,0,1,0,0,0,2,0,0,0,0,745,0,4,749,0
220,107,30,289,2,1,159,1,0,0,0,0,0,0,0,0,1,2,0,2,0,594,0,2,596,0
