Polling Station No,Candidate_1,M.UHTUMILLA,M .JARAMRAHD,JARIARUD .S,NARAHONAM.R,K.JARAMAK,P .RAMUK,LEVIHTKAS .K,A.NOTWEN,N. ILARUM,HSEMAR,A. YAJIV,M.NASARABNA,S.KCIHTRAK,A.RAMUKANHSIRK,N. K. NARIK IHSAHS,JARIARUD .S,MAVISAMARAP,M .AFAHTSUM DEMAHOM,P.RAMUKUHTUM,R.HSEMAR,N.NARIDNAHCIVAR,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
184,184,1,11,137,173,1,1,0,0,0,202,15,0,0,3,0,0,0,0,0,2,0,546,0,1,547,0
185,185,3,19,175,151,2,0,0,0,2,205,9,0,1,0,0,0,0,1,1,1,1,571,0,7,578,0
186,186,1,50,304,308,2,1,2,2,0,392,12,3,0,5,1,3,0,2,0,1,0,1089,0,2,1091,0
187,187,2,49,227,218,1,1,0,0,0,434,14,0,0,1,1,1,0,1,1,2,1,954,0,0,954,0
188,188,1,12,427,88,0,0,0,0,0,149,1,0,0,0,1,1,0,0,2,0,0,682,0,0,682,0
189,189,2,14,316,68,0,0,0,0,0,179,1,2,0,0,0,0,2,0,1,0,0,585,0,0,585,0
190,190,1,41,336,124,1,1,0,2,1,331,1,0,2,1,1,2,0,0,2,1,0,848,0,4,852,0
191,191,1,36,207,221,1,0,0,1,1,201,2,3,0,1,2,1,1,0,0,0,0,679,0,2,681,0
192,192,1,32,185,89,1,0,0,2,0,277,0,0,0,1,0,0,0,0,0,1,0,589,0,8,597,0
193,193,0,34,243,111,0,1,0,1,1,325,1,0,0,0,0,1,0,0,1,0,0,719,0,3,722,0
194,194,3,28,259,189,0,0,2,0,2,271,0,0,1,1,0,1,0,0,1,0,0,758,0,1,759,0
195,195,0,26,230,191,0,0,0,0,0,398,2,0,1,1,2,3,0,0,0,0,0,854,0,3,857,0
196,196,1,36,304,211,1,0,1,2,3,397,1,0,4,3,1,5,1,0,0,1,0,972,0,2,974,0
197,197,3,22,231,265,0,1,1,1,3,303,2,1,0,1,0,1,0,0,0,2,1,838,0,2,840,0
198,198,0,12,149,244,0,1,0,0,2,237,0,1,1,2,2,4,0,0,2,2,1,660,0,0,660,0
199,199,1,35,260,266,1,0,1,0,2,307,1,0,1,0,2,1,0,2,0,1,0,881,0,5,886,0
200,200,3,46,129,237,1,0,0,0,4,272,1,0,7,0,3,1,0,0,1,3,1,709,0,4,713,0
201,201,1,39,194,234,2,1,0,0,0,262,0,1,0,2,2,1,0,0,2,4,0,745,0,0,745,0
202,202,0,11,218,226,0,0,0,0,0,310,1,0,0,0,1,1,0,0,0,0,1,769,0,1,770,0
203,203,1,18,201,185,1,1,0,0,0,228,0,1,1,0,0,1,0,0,1,2,1,642,0,1,643,0
204,204,3,14,113,248,1,0,0,0,0,266,1,1,1,1,2,0,0,0,0,2,0,653,0,2,655,0
205,205,0,11,236,118,1,0,0,2,2,228,1,0,0,0,1,0,0,1,1,0,0,602,0,3,605,0
206,206,1,12,110,142,0,0,0,0,0,239,1,1,2,0,0,0,0,0,0,1,0,509,0,1,510,0
207,207,2,28,202,263,0,3,2,0,3,445,1,0,1,0,0,0,1,0,2,1,1,955,0,2,957,0
208,208,6,59,156,289,1,0,1,3,6,517,1,0,1,3,4,1,0,1,4,2,1,1056,0,5,1061,0
209,209,2,54,143,225,0,1,1,0,6,564,0,3,0,1,1,1,1,0,0,2,2,1007,0,1,1008,0
210,210,1,22,131,100,0,0,0,1,1,252,0,0,2,1,2,0,0,0,0,2,0,515,0,0,515,0
211,211,2,20,92,152,0,0,2,0,3,294,1,0,2,2,1,0,1,0,0,3,0,575,0,0,575,0
212,212,2,47,225,169,0,1,1,0,1,477,0,1,0,0,2,0,0,0,1,2,0,929,0,2,931,0
213,213,4,30,236,125,0,0,0,0,0,376,0,2,0,0,0,0,0,0,1,1,0,775,0,7,782,0
214,214,0,23,230,224,3,0,0,3,1,473,2,0,1,1,1,1,0,0,0,1,0,964,0,3,967,0
215,215,4,39,230,143,1,0,1,2,2,491,2,1,0,1,1,2,1,1,5,3,0,930,0,2,932,0
216,216,2,54,245,114,0,0,0,0,3,426,0,0,0,0,0,0,0,1,0,0,1,846,0,3,849,0
217,217,0,38,143,176,1,0,1,0,1,308,2,1,0,1,2,1,1,0,0,0,0,676,0,0,676,0
218,218,1,27,152,119,1,1,0,3,2,245,2,0,0,0,0,0,0,0,0,0,1,554,0,1,555,0
219,219,1,31,175,208,0,2,0,1,1,309,2,0,0,0,0,2,1,0,3,2,2,740,0,1,741,0
220,220,0,48,250,214,0,0,0,0,1,320,1,0,0,1,3,3,0,1,2,0,0,844,0,4,848,0
