Polling Station No,DR. A. SUBAIR KHAN,A. BABU MAILAN,D. JAYAKUMAR,M. JAYARAJKUMAR,A. SATHIK KUMAR,M. RAJKUMAR,R. VINOTHKUMAR,K.V. VIJAY DAMU,T. KAVIYARASU,G. KARTHIKEYAN,KERTHIVARUNNAN .R,A. SASIKUMAR,M. SHANMUGAM,K.J. SIVAKUMAR,P. SUMATHI,J. SELVAKUMAR,M DHINAKARAN,A. NIZAR AHAMED,V. BHAGATH SINGH,K. PRASATH,M. MAHALAKSHMI,S. RAJU,T. RAJESH,R. RAJKUMAR,A. JAYAKUMAR,D. JAYAKUMAR,I JAYAPRAKASH,C. SRIDHAR,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
138,228,6,80,0,1,1,0,415,2,0,2,1,0,0,0,1,0,0,1,2,0,0,0,1,0,0,0,0,741,0,1,742,0
139,264,13,73,0,2,1,0,395,1,1,1,1,0,0,0,1,0,0,2,0,0,0,0,4,1,2,1,1,764,0,2,766,0
140,243,15,120,0,0,1,1,431,0,1,0,0,0,1,1,2,2,1,5,0,0,0,0,2,0,0,1,0,827,0,2,829,0
141,213,6,131,1,0,0,3,473,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,834,0,2,836,0
142,233,12,69,0,0,0,0,275,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,591,0,1,592,0
143,172,17,84,0,0,1,0,244,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,1,0,0,0,0,525,0,1,526,0
144,265,23,92,1,1,0,1,300,0,0,0,1,0,0,1,0,1,2,2,0,0,0,1,1,0,1,1,1,695,0,3,698,0
145,267,17,95,0,0,0,2,403,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,786,0,2,788,0
146,377,17,78,42,0,0,1,393,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,914,0,2,916,0
147,61,6,30,1,0,0,1,112,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,214,0,0,214,0
148,355,11,77,4,1,0,1,301,0,0,0,0,0,1,0,0,3,1,0,0,0,0,1,1,0,0,1,0,758,0,2,760,0
149,246,5,46,2,0,1,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,499,0,4,503,0
150,451,16,54,0,0,0,0,196,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,719,0,2,721,0
151,302,11,58,1,0,0,0,300,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,676,0,0,676,0
152,464,12,31,0,0,1,1,191,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,1,707,0,0,707,0
153,215,9,74,1,0,0,0,208,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,510,0,2,512,0
154,351,1,51,1,0,1,1,178,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,587,0,1,588,0
155,438,11,12,1,0,0,0,185,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,649,0,2,651,0
156,370,4,13,1,0,0,0,141,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,533,0,1,534,0
157,329,10,36,2,1,0,1,270,0,0,0,1,0,0,1,1,3,0,0,0,0,0,1,1,0,0,0,0,657,0,1,658,0
158,139,4,13,0,0,0,1,115,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,274,0,2,276,0
159,507,11,44,1,0,0,0,213,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,1,785,0,1,786,0
160,339,10,43,0,1,0,1,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,610,0,0,610,0
161,362,6,34,0,0,0,1,114,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,1,0,523,0,0,523,0
162,277,8,23,0,0,0,0,118,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,428,0,0,428,0
163,241,5,99,1,0,1,2,205,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,559,0,1,560,0
164,307,14,60,1,1,1,0,279,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,2,0,3,0,0,673,0,2,675,0
165,162,10,77,0,0,1,2,402,0,0,1,0,0,0,0,1,4,1,0,0,0,0,0,1,0,1,0,1,664,0,1,665,0
166,92,2,52,2,0,0,0,260,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,414,0,2,416,0
167,201,14,127,0,0,2,4,419,1,0,0,1,1,1,0,4,0,0,1,0,0,0,0,3,0,1,0,2,782,0,1,783,0
168,594,8,21,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,759,0,2,761,0
169,136,6,28,0,0,0,1,220,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,2,0,0,0,0,398,0,1,399,0
170,138,14,96,2,1,1,3,303,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,563,0,2,565,0
171,193,15,111,0,0,0,4,407,0,0,0,0,0,0,0,3,6,0,3,0,0,0,1,1,0,0,0,1,745,0,0,745,0
172,312,22,78,0,1,2,1,484,0,0,1,1,0,0,2,0,3,0,0,2,0,0,1,1,0,1,0,0,912,0,0,912,0
173,225,10,90,1,1,0,4,448,1,1,0,3,0,0,0,0,0,2,1,0,0,1,0,2,0,0,0,0,790,0,2,792,0
