Polling Station No,Candidate_1,HSEHAM IHZOMAYYOP LIBNA,P .RAMUK,T .HSSEJAR,S .ARHTISIV,T .LEVARAMUK,.UHTUMIAHCTIP A,S .HTIJNAR,)A( .S RAMUKAYAJIV UTTAPLAVAN IJIV,L .HPESOJ,I .JARUSEY,K .RAMUK,P .RAMUK,S .SELRAHC,.IMHSKALUBBUS R,P .KAPEED,D .HSOLUOP,AHTNANAGURUM G .M,ANAHOM P .NAVLEHC .RD,.NARDNAHCAMAR V,A .JARTNECNIV,C .RAMUKAYAJIV,N .RAMUKAYAJIV,LEVIRTEV P .ANNAK,.NARDNAHCAYAJ P,A .NAGAJAHS,H .NAMAHAR BEEBAH,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
147,147,260,79,23,0,1,0,1,360,1,1,0,0,0,0,0,1,2,2,0,0,0,2,0,1,0,0,734,0,6,740,0
148,148,309,84,23,0,0,1,1,341,0,0,0,0,2,0,0,2,0,3,0,0,0,1,1,0,0,0,768,0,3,771,0
149,149,294,52,44,0,0,0,1,424,0,1,0,1,0,0,0,1,5,0,1,0,0,0,0,3,1,0,828,0,1,829,0
150,150,289,92,43,0,0,1,3,463,0,1,0,0,1,0,0,5,1,0,0,0,1,0,0,0,0,0,900,0,4,904,0
151,151,280,60,16,1,1,0,2,460,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,2,0,0,827,0,2,829,0
152,152,327,87,24,1,1,0,0,313,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,758,0,6,764,0
153,153,420,97,20,0,1,0,0,329,0,1,0,0,1,0,0,0,2,0,0,0,0,1,0,0,1,0,873,0,8,881,0
154,154,301,121,45,0,0,2,0,404,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,875,0,5,880,0
155,155,268,111,22,0,1,1,1,406,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,819,0,2,821,0
156,156,327,85,19,0,0,0,1,320,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,758,0,0,758,0
157,157,288,87,14,0,2,0,1,325,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,721,0,1,722,0
158,158,142,56,18,0,1,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,412,0,0,412,0
159,159,255,137,21,0,0,1,2,326,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,747,0,2,749,0
160,160,300,66,34,0,0,2,1,423,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,1,834,0,6,840,0
161,161,290,67,22,0,0,0,3,458,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,846,0,0,846,0
162,162,261,68,16,2,0,0,1,344,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,695,0,5,700,0
163,163,220,76,23,0,0,0,1,306,1,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,1,0,633,0,1,634,0
164,164,308,51,39,2,0,1,0,273,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,679,0,7,686,0
165,165,247,61,21,0,0,0,2,306,1,0,1,0,0,0,0,1,1,0,0,0,0,0,2,0,2,0,645,0,4,649,0
166,166,231,86,32,0,2,1,2,367,0,1,0,1,0,0,0,0,2,3,0,0,0,0,1,2,1,0,732,0,2,734,0
167,167,289,75,26,0,0,0,3,409,0,1,0,0,0,0,2,1,1,2,0,0,2,1,0,1,0,0,813,0,4,817,0
168,168,280,100,37,0,0,1,1,385,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,810,0,5,815,0
169,169,160,111,21,1,0,0,1,288,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,585,0,2,587,0
170,170,278,73,42,1,0,0,4,406,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,2,0,811,0,11,822,0
