Polling Station No,KIRUTHIGA THANGAPANDI,SATHYADEVI. T.,RAJANCHELLAPPA. V.V.,CHELLADURAI. R,SETHURAMAN. A.,SYED IBRAHIM. M.,THANAPANDIAN. T.,NIRMALKUMAR. R.,MOOKKAYEE. C.,RENGANATHAN DORAISAMY,ARUMUGAM. G.,UKKRA PANDIAN. S.,POUNRAJ. N.,RAJ. P.,VALLARASAN. K.,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
290,349,43,146,1,1,1,2,368,0,1,0,0,0,0,1,913,0,2,915,0
291,298,45,148,0,0,0,0,374,0,1,0,0,1,2,0,869,0,2,871,0
292,236,55,263,1,0,1,1,333,1,1,0,1,0,4,0,897,0,1,898,0
293,267,57,165,0,2,0,0,315,0,0,0,0,0,4,0,810,0,4,814,0
294,200,47,199,0,0,1,2,495,3,0,2,1,0,2,0,952,0,6,958,0
295,270,37,186,1,0,2,0,360,0,0,0,0,0,1,0,857,0,2,859,0
296,203,53,209,1,3,2,0,464,0,0,0,0,0,0,0,935,0,8,943,0
297,211,74,192,1,0,0,0,403,1,0,0,0,0,1,1,884,0,3,887,0
298,202,46,177,0,0,0,1,302,0,1,0,0,0,1,1,731,0,2,733,0
299,165,52,138,0,1,1,6,344,2,0,0,0,0,1,0,710,0,4,714,0
