Polling Station No,Candidate_1,artennuM R E magahzaK NARAWSE adivarD,R adivarD magahzaK )A( RAKESARDNAHC RAKES annA artennuM TMRS aidnI llA,ihctaK K IHTAVER ralimaT maaN,G irtteV K magahzaK JARNURA agalimaT,K ihctaK A NANAVARAHS agahzimaT iamiruvhzaaV,K fo IBMAHTANNIHC ytraP )elawahtA( nacilbupeR aidnI,MAYINAMARBUS annA layeS LAPANAHD ayihdnihtianA lakkaM adivarD,ihctaK P NARAMUKKURIHT artennuM lakkaM,T lakkaM A YMASUNUM ihctakalaN ayinamaS,S MASAKARPLURA tnednepednI,K tnednepednI L NANUJRA,M tnednepednI NARAWSE,P RAMUKSEEHTAS tnednepednI,MARADNUSANAVARAS tnednepednI S,NALAKIRAK tnednepednI HSENIHD,V NAJARKAPEED tnednepednI,K YMASINALAP tnednepednI,P NAIHZEHC tnednepednI IJALAB,N RAMUKHSEHAM tnednepednI,S tnednepednI HSEMAR,P RAMUKAJAR tnednepednI,N tnednepednI S HTNAVER,P NAHTANAWSIV tnednepednI,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
187,187,146,124,14,255,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,543,0,0,543,0
188,188,100,63,9,146,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,322,0,0,322,0
189,189,145,108,26,411,1,1,0,0,0,0,0,0,0,2,0,1,2,1,0,1,0,0,0,699,0,2,701,0
190,190,168,106,15,331,0,0,0,0,0,0,0,2,0,1,0,3,3,0,0,1,0,0,0,630,0,2,632,0
191,191,237,180,19,422,1,0,0,2,0,1,0,1,0,3,1,1,0,2,0,2,1,1,0,874,0,2,876,0
192,192,175,167,21,345,2,0,0,0,0,0,0,0,0,11,0,1,1,1,0,0,0,0,0,724,0,1,725,0
193,193,198,180,41,362,2,1,1,1,0,0,0,0,1,3,2,0,2,0,0,3,0,0,0,797,0,0,797,0
194,194,88,85,16,184,1,1,0,0,0,0,0,0,0,5,0,1,0,0,0,1,0,0,0,382,0,0,382,0
195,195,202,247,26,419,0,1,0,0,0,1,0,2,0,8,1,1,0,1,0,1,0,0,0,910,0,2,912,0
196,196,197,236,54,514,1,2,0,0,0,0,0,0,0,0,0,3,1,1,1,3,0,0,0,1013,0,0,1013,0
197,197,174,127,10,221,1,0,0,0,0,0,0,0,0,4,2,5,2,0,0,1,0,0,0,547,0,1,548,0
198,198,199,106,17,368,0,2,0,0,0,0,0,0,0,13,0,0,3,0,0,1,0,0,0,709,0,3,712,0
199,199,171,174,23,403,0,1,0,0,0,0,0,0,1,37,0,1,0,0,0,0,0,0,0,811,0,3,814,0
200,200,111,79,15,272,0,1,0,0,0,0,1,0,0,5,0,0,0,0,0,1,0,0,0,485,0,1,486,0
201,201,173,116,27,394,2,2,0,0,0,0,0,0,1,37,0,2,0,1,0,1,0,0,0,756,0,1,757,0
202,202,116,68,16,239,3,0,0,0,0,0,0,0,1,9,0,1,2,0,0,1,0,0,0,456,0,1,457,0
203,203,117,78,9,218,1,0,1,0,0,0,0,0,0,52,0,0,0,0,0,2,3,0,0,481,0,1,482,0
204,204,240,44,26,422,0,1,0,0,0,0,0,0,2,5,0,3,1,0,0,1,0,0,0,745,0,3,748,0
205,205,37,42,2,99,0,2,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,0,0,188,0,2,190,0
206,206,131,125,27,364,0,3,0,0,0,1,0,0,0,6,0,1,1,2,0,0,0,0,0,661,0,0,661,0
207,207,164,99,17,289,0,0,1,0,0,0,0,0,1,7,0,1,1,1,0,1,0,0,1,583,0,2,585,0
208,208,132,170,13,282,1,0,1,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,605,0,1,606,0
209,209,200,159,36,383,4,1,0,1,1,0,0,1,4,1,1,4,1,0,0,0,1,0,0,798,0,1,799,0
210,210,149,139,14,202,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,508,0,4,512,0
211,211,80,72,8,266,0,1,1,0,0,0,0,0,5,3,1,0,1,1,0,3,1,0,0,443,0,1,444,0
212,212,144,87,24,249,0,2,0,0,0,0,0,0,1,1,0,2,4,3,0,2,1,0,2,522,0,1,523,0
213,213,127,142,8,221,2,0,0,0,0,0,0,1,1,0,0,1,1,1,0,3,0,0,0,508,0,2,510,0
