Polling Station No,KARTHIK MOHAN,ROSHINI S,VIJAYAKUMAR S.R,ABDUL SHABEEK A,AJITHKUMAR A,AADHAV ARJUNA,ASHOK KUMAR C.A,ANBAZHAGAN G,KANNAN M,KANDASAMY S,KARTHICK S,KARTHICK P,SHANMUGA D,CHARAVANAN M.P,SOLOMON J.R,SUBRAMANI K,DHAYANIDHI D,DEVARAJAN G,BALAMURALI G,PURUSHOTHAMAN P,MANIMARAN P,MURALI R,MURALI VINODH M,YUVARAJ S,RAJI M,VIJAYAKUMAR G,VIJAYAKUMAR D,JAYA ZEBA C,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
102,226,27,127,0,0,156,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538,0,3,541,0
103,146,14,90,0,1,127,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,381,0,5,386,0
104,119,7,55,1,2,83,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,273,0,5,278,0
105,189,21,175,0,0,172,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559,0,3,562,0
106,117,10,106,1,1,103,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,0,6,346,0
107,196,13,82,0,0,118,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,412,0,3,415,0
108,115,7,64,1,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,0,6,320,0
109,246,22,147,0,1,225,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,645,0,2,647,0
110,133,20,57,1,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381,0,1,382,0
111,123,17,13,0,1,111,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,268,0,1,269,0
112,181,25,76,0,0,178,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,462,0,6,468,0
113,205,18,133,0,0,177,1,0,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,539,0,4,543,0
114,206,22,74,1,1,223,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,531,0,2,533,0
115,203,21,87,1,1,347,0,0,0,0,0,2,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,667,0,2,669,0
116,191,24,51,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,393,0,4,397,0
117,139,17,60,1,1,124,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,346,0,0,346,0
118,86,19,93,0,0,143,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,342,0,5,347,0
119,201,16,84,0,0,129,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,434,0,3,437,0
120,151,18,98,0,2,135,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,409,0,7,416,0
121,160,14,105,0,1,152,1,0,0,0,0,0,0,0,1,1,1,0,2,1,0,0,0,1,0,1,0,0,441,0,2,443,0
122,226,18,75,0,0,183,0,0,1,0,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,0,509,0,4,513,0
