Polling Station No,ELANGOVAN. A.R,SIVASAKTHI. M,MANI. R,ADHIYAMAAN. R.V,KRISHNAMOORTHY. D,SURESHKUMAR. S,ARUL PRAKASH. T,GOBINATHAN. R,SANTHALINGAM. C,PERUMAL. S,MANI. V,MANOKARAN. A,MAYAKKANNAN. R,MOHANRAJ. P.M,JEGANATHAN. A,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
235,101,53,266,171,2,0,0,0,1,0,0,0,0,0,0,594,0,2,596,0
236,189,79,383,249,2,0,0,5,1,1,3,0,2,0,0,914,0,11,925,0
237,144,32,483,211,2,0,0,1,0,0,0,0,1,2,0,876,0,2,878,0
238,94,32,447,129,1,1,0,2,0,0,0,1,1,0,0,708,0,3,711,0
239,61,18,335,247,5,2,0,5,0,0,1,0,1,3,0,678,0,3,681,0
240,104,14,313,193,0,0,1,4,1,1,0,1,1,3,0,636,0,2,638,0
241,75,7,375,88,0,3,0,0,0,0,0,0,0,2,0,550,0,4,554,0
242,90,18,710,250,0,0,0,6,0,0,0,0,1,4,1,1080,0,0,1080,0
243,81,18,638,250,0,3,1,3,1,1,0,0,3,4,1,1004,0,2,1006,0
244,148,20,523,143,0,0,2,2,0,0,0,2,0,2,1,843,0,9,852,0
245,113,37,379,260,0,3,0,6,0,1,1,0,2,1,0,803,0,8,811,0
246,78,37,595,300,0,2,1,10,1,1,2,0,2,6,1,1036,0,6,1042,0
247,38,17,247,94,0,0,0,1,0,2,0,1,1,1,1,403,0,2,405,0
248,58,21,438,236,0,2,1,5,2,0,1,2,2,1,1,770,0,6,776,0
249,104,13,263,281,0,1,0,5,0,0,0,1,3,0,1,672,0,2,674,0
250,90,12,260,173,1,0,0,5,0,2,1,2,2,0,0,548,0,4,552,0
251,118,33,453,440,3,1,0,8,1,1,0,2,8,2,0,1070,0,5,1075,0
252,108,32,512,320,0,2,1,11,2,2,1,2,6,4,2,1005,0,6,1011,1
253,149,14,324,248,2,0,0,6,0,1,0,0,0,1,0,745,0,3,748,0
254,129,36,555,319,2,1,0,10,0,1,2,0,2,3,1,1061,0,4,1065,0
255,121,32,525,375,2,1,1,11,1,1,0,1,3,1,1,1076,0,5,1081,0
256,86,40,409,332,3,4,0,7,0,0,2,1,1,0,1,886,0,3,889,0
257,105,34,307,297,1,1,1,1,0,0,1,0,2,1,0,751,0,3,754,0
258,212,16,352,276,1,1,0,9,2,0,0,0,1,4,0,874,0,1,875,1
259,130,21,376,281,6,0,0,7,0,0,0,0,2,2,0,825,0,4,829,0
260,175,19,314,285,1,1,0,6,0,0,1,0,2,1,1,806,0,4,810,0
261,131,38,413,374,0,3,1,11,2,0,1,1,3,1,2,981,0,5,986,0
262,101,40,326,388,4,4,0,7,0,0,0,0,1,3,1,875,0,3,878,0
263,131,41,351,369,0,0,0,3,0,1,0,1,3,0,1,901,0,1,902,0
264,88,19,241,206,0,0,0,4,1,0,0,0,4,2,1,566,0,2,568,0
265,69,27,240,207,1,0,1,7,0,0,2,2,1,0,3,560,0,7,567,0
266,103,46,277,359,4,0,0,2,0,0,1,0,1,3,0,796,0,5,801,0
267,156,8,461,214,0,0,0,3,0,0,0,0,1,2,2,847,0,0,847,0
268,129,19,491,268,0,0,0,7,1,0,1,0,1,0,2,919,0,4,923,0
269,146,18,329,176,2,2,0,1,0,0,0,0,0,1,0,675,0,3,678,0
270,141,21,393,211,0,0,0,3,1,0,2,0,0,0,0,772,0,5,777,0
271,133,38,525,310,1,4,0,6,3,1,0,3,5,0,2,1031,0,7,1038,0
272,106,21,402,195,0,0,1,8,0,0,0,0,1,1,1,736,0,2,738,0
273,209,29,504,237,0,4,0,2,0,0,0,0,2,1,1,989,0,4,993,0
274,65,3,273,115,0,0,0,1,1,0,1,0,0,1,1,461,0,0,461,0
275,117,15,415,266,3,3,0,2,0,0,0,0,0,0,0,821,0,2,823,0
276,136,21,418,260,3,1,0,3,0,0,1,0,3,7,0,853,0,5,858,0
277,224,21,416,272,2,0,0,2,0,0,0,1,1,2,0,941,0,2,943,0
278,263,21,495,367,1,1,0,4,0,0,2,1,1,0,2,1158,0,7,1165,0
279,234,14,450,214,1,0,2,3,0,0,2,0,1,0,0,921,0,5,926,0
280,130,23,405,239,4,0,0,2,0,0,0,3,4,4,0,814,0,5,819,0
281,94,54,333,289,0,1,0,3,0,0,1,0,0,0,1,776,0,7,783,0
282,118,16,356,189,1,1,0,3,1,0,0,0,1,1,0,687,0,1,688,0
283,192,55,315,339,2,0,0,5,1,1,1,1,1,0,2,915,0,4,919,0
284,124,34,336,199,1,2,0,4,0,0,0,0,1,2,0,703,0,2,705,0
285,87,13,418,257,0,0,0,5,0,0,0,1,2,0,1,784,0,2,786,0
