Polling Station No,Candidate_1,A . A) K H T TN I N( A,A . M A) GK UM MD N( A H S,V . R A ) MK UM KD HA TI AA P( M A S,G .) UP RS HB E( N,S .) LK AL MK MM AM HL TD UA RN A( K,K . J A) RK M U PT P( U K,S .) AK LV IA N T A( M,C . U ) T NA N N I AR KP IP R R A ( M,K . H) K S V E KT ( A R,. R D ) ) Y P AMK (AC HWN S J ST E T .R AKH K. VB N ( E V,K . H ) TD AN PI M( A S,C . H ) TD AN PI M( A S,K . L E ) VD A N G I N( A H T,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
213,213,13,195,176,0,0,0,0,0,185,0,0,1,0,1,571,0,2,573
214,214,9,292,149,1,1,0,0,1,106,0,0,0,1,2,562,0,3,565
215,215,11,580,42,0,2,0,0,2,95,0,0,0,0,1,733,0,4,737
216,216,16,156,277,3,4,0,0,4,326,2,0,3,2,1,794,0,3,797
217,217,25,204,395,3,0,0,1,2,162,0,0,0,1,0,793,0,4,797
218,218,2,64,78,1,0,0,0,2,65,1,0,0,0,1,214,0,1,215
219,219,15,229,165,1,0,0,0,3,435,0,0,1,1,0,850,0,2,852
220,220,14,220,436,1,2,0,0,1,245,0,1,2,2,0,924,0,2,926
221,221,21,171,380,2,2,0,0,1,352,0,0,0,1,1,931,0,7,938
222,222,6,105,93,1,0,0,0,0,138,0,0,0,0,0,343,0,1,344
223,223,9,305,179,0,1,0,1,0,285,0,0,0,0,0,780,0,1,781
224,224,14,252,125,1,2,1,0,4,295,0,0,0,0,0,694,0,1,695
225,225,21,210,119,0,2,1,0,0,229,0,0,0,0,1,583,0,0,583
226,226,15,295,112,0,2,0,1,3,277,0,1,1,0,0,707,0,1,708
227,227,16,267,118,0,0,0,1,0,230,0,0,0,1,0,633,0,1,634
228,228,11,228,103,1,0,0,0,3,207,0,0,0,0,0,553,0,0,553
229,229,18,213,120,1,1,0,0,1,223,0,0,0,0,0,577,0,2,579
230,230,12,131,96,1,3,0,1,1,118,0,0,0,0,1,364,0,3,367
231,231,13,177,126,0,1,0,0,3,183,0,0,1,1,0,505,0,5,510
232,232,13,172,199,2,0,0,1,1,136,0,0,1,0,0,525,0,3,528
233,233,15,77,404,2,2,2,0,1,164,1,1,1,0,1,671,0,3,674
234,234,12,51,299,1,0,0,0,3,124,1,0,1,0,0,492,0,1,493
235,235,20,309,177,1,3,0,1,4,208,0,0,0,1,5,729,0,5,734
236,236,22,60,572,4,2,0,0,1,162,0,0,2,1,1,827,0,2,829
237,237,16,442,117,0,2,0,0,2,259,1,0,0,1,1,841,0,2,843
238,238,8,298,43,1,0,0,0,0,176,0,0,0,0,0,526,0,3,529
239,239,18,487,71,1,0,1,1,0,264,0,0,0,2,1,846,0,3,849
240,240,13,337,54,1,1,0,0,0,196,0,0,0,1,1,604,0,2,606
241,241,19,295,151,1,0,0,0,1,267,0,0,0,0,0,734,0,1,735
242,242,12,358,105,2,2,0,1,3,403,0,0,1,0,2,889,0,1,890
