Polling Station No,GANAPATHY. K,P. BENJAMIN,REVATHI L,AGNI SELVARAJU. J,MUTHURAMAN. S,MURALI. S,RHEVANTH CHARAN,K. VENKATESAN,J. VENKATESAN,D. ANANDAN,K. GANAPATHY,V. KAMALA KANNAN,SARAVANAN KUMAR,R. SIVA,M. BALASUBRAMANIAN,S. BENJAMIN MOSES,PONMUTHU RAMESH,N.A. MANI,R. YUVARAJ,VIGNESH NANDAGOPAL,M. JAMES,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
188,151,87,26,3,0,2,391,0,2,1,0,0,0,0,0,0,0,0,0,0,0,663,0,1,664,0
189,86,96,25,0,0,0,271,1,4,0,0,0,0,1,0,0,0,0,1,0,0,485,0,1,486,0
190,221,102,41,1,0,1,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,773,0,7,780,0
191,220,118,28,1,0,1,296,0,0,0,0,0,0,0,0,1,0,0,3,0,0,668,0,5,673,0
192,198,142,17,1,0,3,309,3,0,0,0,0,0,0,0,1,2,0,1,0,0,677,0,1,678,0
193,205,104,29,0,0,0,344,0,0,0,0,0,0,1,0,0,0,0,0,0,0,683,0,1,684,0
194,160,110,20,1,0,1,306,5,0,1,0,0,0,2,0,0,1,0,0,1,0,608,0,4,612,0
195,258,112,28,0,1,1,405,2,0,1,0,0,0,2,0,1,0,2,0,1,0,814,0,4,818,0
196,195,109,26,1,0,0,313,0,0,1,0,0,0,1,0,0,2,0,0,0,0,648,0,3,651,0
197,241,104,57,1,0,1,379,1,1,1,0,0,0,1,0,0,1,0,0,0,0,788,0,7,795,0
198,190,123,37,2,0,0,329,0,0,0,0,0,0,0,0,0,0,0,1,0,0,682,0,3,685,0
199,154,78,21,2,0,0,227,0,0,0,0,1,0,0,0,0,0,0,0,0,0,483,0,3,486,0
200,188,130,46,1,1,4,408,0,0,0,0,0,0,2,0,0,0,0,0,0,0,780,0,5,785,0
201,160,85,21,0,0,0,336,0,2,1,0,1,0,0,0,1,0,1,1,0,0,609,0,2,611,0
202,147,87,25,0,0,0,237,0,0,0,0,0,0,1,0,0,0,0,0,0,1,498,0,2,500,0
203,119,102,14,1,0,0,173,0,0,0,0,0,0,0,0,1,0,0,0,0,0,410,0,2,412,0
204,185,81,34,0,0,4,259,0,0,0,0,1,0,1,0,0,0,1,0,0,0,566,0,0,566,0
205,164,113,27,0,0,0,271,0,0,0,0,0,0,1,0,0,0,0,0,0,1,577,0,1,578,0
206,158,97,30,0,1,2,264,0,3,0,0,1,1,1,1,0,1,0,0,1,0,561,0,1,562,0
207,257,96,27,1,0,0,315,0,0,0,0,0,0,0,0,0,1,0,0,0,0,697,0,2,699,0
208,152,84,15,0,0,1,204,0,0,0,1,3,0,1,0,2,1,0,0,0,0,464,0,1,465,0
209,196,126,29,1,0,1,251,0,0,1,0,0,1,0,0,0,0,0,0,0,0,606,0,4,610,0
210,189,128,24,1,1,2,352,0,1,0,0,0,1,0,0,0,1,0,0,0,0,700,0,4,704,0
