Polling Station No,Candidate_1,RAMUKADNAN.P.A,RAMUKIVAR.M,NAGAHZALEV.D,NANAVARAS.R,ANNAKHTONIV.V,HSETAKNEV.S.V,NAGURUMLEV.R,NALEESAYAJ.P,HSERUS.E,YHTROOMAVLES.S,RAMUK AHDNAN.M,NARAHONAM.K,HSEMAR.R,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
174,239,18,275,2,1,1,276,1,1,2,0,2,2,820,820,0,2,822,0
175,195,11,277,0,0,0,196,1,0,0,0,1,0,681,681,0,2,683,0
176,265,18,87,0,0,2,214,0,1,0,0,0,0,587,587,0,0,587,0
177,170,13,245,1,0,0,212,1,0,0,0,1,0,643,643,0,3,646,0
178,118,15,212,2,0,1,139,0,0,0,0,0,0,487,487,0,7,494,0
179,278,19,165,0,0,0,248,0,0,0,0,1,1,712,712,0,2,714,0
180,133,11,225,0,0,0,111,1,0,1,0,0,0,482,482,0,3,485,0
181,428,21,202,1,0,1,372,1,0,1,0,1,0,1028,1028,0,7,1035,0
182,391,18,207,0,0,4,344,1,0,1,0,0,0,966,966,0,1,967,0
183,313,27,258,2,0,2,297,0,0,1,0,1,0,901,901,0,5,906,0
184,169,8,256,2,0,0,189,1,1,0,0,0,1,627,627,0,2,629,0
185,104,7,285,1,0,0,146,0,1,0,1,4,2,551,551,0,4,555,0
186,391,31,100,0,1,0,296,0,1,0,1,0,0,821,821,0,5,826,0
187,199,5,106,1,0,1,158,0,0,0,0,3,0,473,473,0,2,475,0
188,141,13,203,0,1,1,214,0,0,1,0,0,0,574,574,0,1,575,0
189,191,17,211,1,0,0,252,3,3,0,1,0,1,680,680,0,3,683,0
190,295,21,281,1,0,1,251,0,1,0,0,0,0,851,851,0,4,855,0
191,117,16,664,2,0,0,139,0,0,0,0,3,1,942,942,0,1,943,0
192,159,18,502,2,0,0,202,0,0,0,0,1,0,884,884,0,3,887,0
193,82,15,394,0,0,0,221,0,0,0,1,0,1,714,714,0,2,716,0
194,157,12,363,0,0,0,168,0,0,0,0,1,1,702,702,0,1,703,0
195,137,11,199,0,1,1,221,0,0,0,0,0,0,570,570,0,2,572,0
196,107,16,275,2,0,0,159,0,0,0,0,1,0,560,560,0,1,561,0
197,173,23,315,0,3,0,237,1,0,0,0,1,0,753,753,0,5,758,0
198,205,6,180,1,0,0,165,1,0,0,0,0,0,558,558,0,2,560,0
199,275,13,68,0,1,0,198,0,0,0,0,0,0,555,555,0,0,555,0
200,132,4,343,1,11,0,242,2,1,0,0,0,0,736,736,0,1,737,0
201,94,7,288,3,5,0,199,0,0,0,0,1,0,597,597,0,0,597,0
202,376,20,70,1,2,0,236,0,0,0,0,0,0,705,705,0,2,707,0
203,252,24,67,0,0,2,209,1,0,0,0,0,0,555,555,0,0,555,0
204,195,15,261,1,0,1,347,0,0,0,0,3,1,824,824,0,2,826,0
