Polling Station No,S. CHARLES,S.M.NASAR,PUNITHA SHANMUGAM,RAJASIMHA MAHENDRA,R.Edmund Jayendren,C.S. Karnan,SENTHILKUMAR. S,R. BAKTHAVATCHALAM,R.RAMESH KUMAR,P.JAYAKUMAR,K. ANNAMALAI,G.D. ARUNKUMAR,M. ERAJASIMMAN,R. KUMAR,S. SENTHILKUMAR,P. CHELLAPANDIAN,K. BALAKRISHNAN,R. MANIKANDAN,UNIESH RAJ. M,RAJASEKAR. R,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
226,1,134,18,26,0,1,0,3,328,0,0,0,0,0,0,1,0,0,1,0,513,0,0,513,0
227,0,169,34,56,2,0,0,1,342,0,0,1,0,1,1,0,1,0,0,0,608,0,5,613,0
228,2,171,30,30,2,0,0,1,342,0,0,0,2,2,0,0,0,1,0,0,583,0,0,583,0
229,4,234,42,63,2,1,0,1,343,2,0,0,0,0,1,0,0,1,0,2,696,0,2,698,0
230,2,203,34,68,3,0,0,0,442,0,0,0,0,1,0,0,0,0,0,0,753,0,2,755,0
231,0,217,28,61,0,0,0,1,285,0,0,0,0,1,0,0,0,0,0,1,594,0,2,596,0
232,1,258,23,58,2,0,1,2,300,0,0,0,0,1,0,0,0,0,0,0,646,0,2,648,0
233,0,206,36,107,2,0,3,0,357,2,0,1,0,1,0,0,0,1,0,0,716,0,14,730,0
234,0,209,23,70,0,0,0,0,276,0,0,0,0,0,0,1,0,0,0,0,579,0,0,579,0
235,0,223,41,58,2,0,0,1,303,0,0,0,0,0,0,1,0,0,0,0,629,0,1,630,0
236,1,133,32,110,3,0,0,0,293,0,0,1,3,0,2,0,0,1,1,0,580,0,2,582,0
237,2,166,20,33,4,1,0,1,283,0,0,1,2,1,1,0,0,0,0,0,515,0,2,517,0
238,3,195,23,34,1,0,0,1,390,0,0,0,0,0,0,0,0,0,0,1,648,0,0,648,0
239,1,167,24,44,2,0,0,1,306,1,0,1,0,0,0,1,0,0,0,0,548,0,2,550,0
240,1,133,24,28,1,0,0,2,271,0,0,0,0,0,0,0,0,0,0,0,460,0,3,463,0
241,4,151,28,52,1,0,0,0,284,0,0,1,0,0,0,2,0,0,0,0,523,0,4,527,0
242,0,180,16,38,2,0,0,2,254,0,0,0,0,0,1,0,2,0,0,0,495,0,1,496,0
243,2,189,41,97,1,0,0,1,524,0,0,1,0,1,1,1,0,0,0,0,859,0,1,860,0
244,1,211,37,110,1,3,0,0,586,0,2,0,0,3,1,0,2,0,0,0,957,0,2,959,0
245,3,210,42,105,1,0,1,3,453,0,0,4,1,1,1,0,0,1,0,0,826,0,1,827,0
246,1,226,49,76,1,0,1,0,494,1,0,0,0,0,0,0,0,0,0,0,849,0,5,854,0
247,0,130,28,61,0,0,0,1,255,0,0,0,0,1,0,0,0,1,0,1,478,0,2,480,0
248,2,218,30,146,1,1,0,2,381,1,0,0,1,1,2,3,0,0,1,0,790,0,0,790,0
249,4,248,42,63,0,2,0,0,459,0,0,0,0,0,0,0,0,1,0,1,820,0,3,823,0
250,4,280,34,38,0,1,0,1,320,1,0,1,0,1,0,0,0,1,0,0,682,0,1,683,0
