Polling Station No,Candidate_1,S .JARAGNAHT,N.P .HSENID,N .RAMUKHSENID,S .YMASAGNAR,K .UHTUMILAK,S .NAGURUMALAB,G .IHZIVRALAM,KARABUM ILA DEMAHOM,M .RAMUKAYAJIV,A .AHSAB NHOJ,P .LEVAHTUMA,S .NANHSIRKAMAR .RD,K .IVEDAKIHTRAK,N .IHTRUMAVASEK,D .LABANAHD,RAMUKHSENID,RAMUKHSENID,V .RAMUKHSENID,V .MAGNILAHAM,M .LEVANIHTAR,S .HSEMAR,K .INAMAHTNASAV,K .YMASADAKNEV,G .MALAHCATAKNEV,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
178,178,142,38,163,1,4,252,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,603,0,3,606,0
179,179,176,25,191,1,0,320,1,1,0,0,1,0,0,5,1,0,0,0,0,1,0,0,0,2,725,0,2,727,0
180,180,119,32,235,2,0,306,3,0,0,1,0,0,0,0,0,1,2,1,1,0,0,2,2,0,707,0,3,710,0
181,181,107,24,177,2,1,305,0,0,1,1,0,0,0,2,0,4,1,0,1,0,0,0,0,0,626,0,0,626,0
182,182,137,29,159,1,1,202,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,1,0,0,535,0,2,537,0
183,183,131,38,165,0,0,303,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,642,0,2,644,0
184,184,163,28,191,0,1,351,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,740,0,3,743,0
185,185,139,32,155,1,0,252,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,1,0,585,0,2,587,0
186,186,138,37,123,1,1,277,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,579,0,1,580,0
187,187,129,39,175,0,0,326,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,674,0,4,678,0
188,188,203,22,122,0,0,243,1,0,1,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,597,0,4,601,2
189,189,77,13,173,1,2,194,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461,0,1,462,0
190,190,234,18,276,0,1,302,0,1,0,1,0,0,0,1,0,2,2,0,0,0,0,0,0,0,838,0,6,844,0
191,191,177,19,160,0,0,240,1,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,602,0,3,605,0
192,192,147,22,166,0,2,268,0,0,0,0,2,0,0,0,0,1,2,2,0,0,0,1,0,0,613,0,4,617,0
