Polling Station No,DURAI. CHANDRASEKARAN,DURAI. SENTHILNATHAN,VELU. KARTHIKEYAN,MATHI. MANIKANDAN,S. VIJAYAKUMAR,VIJAYA BABU,V. VENU,ABIMAN,ER.S. ARJUN,R. SATHIYANARAYANAN,RAJASEKARAN. S,R. RAJKUMAR,JAYAINDHRAESWARAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
262,223,12,163,211,2,1,0,0,1,1,0,0,1,615,0,4,619,0
263,296,54,140,255,0,10,1,0,0,0,1,2,2,761,0,5,766,0
264,222,37,141,388,0,2,3,2,3,3,1,0,1,803,0,4,807,0
265,298,38,117,273,6,0,1,1,0,0,0,0,0,734,0,4,738,0
266,279,30,85,228,1,2,1,0,2,0,1,2,0,631,0,1,632,0
267,155,9,68,94,0,0,1,0,0,0,0,0,0,327,0,1,328,0
268,163,13,110,199,1,2,1,0,0,1,1,0,1,492,0,1,493,0
269,314,54,105,350,0,0,2,0,1,1,0,1,0,828,0,3,831,0
270,6 238,25,109,130,0,2,0,0,0,0,1,3,1,509,0,4,513,0
271,141,44,84,178,1,1,3,0,0,2,0,0,0,454,0,2,456,0
272,268,29,174,104,2,1,0,0,0,0,3,2,1,584,0,3,587,0
273,323,32,186,300,1,1,2,0,0,0,4,0,0,849,0,1,850,0
274,165,23,109,100,1,0,0,0,0,0,0,3,0,401,0,2,403,0
275,190,22,129,153,0,2,3,0,0,0,0,0,0,499,0,1,500,0
276,233,43,111,167,2,3,0,0,0,0,1,4,1,565,0,4,569,0
277,181,13,100,119,0,0,3,0,1,1,0,1,0,419,0,1,420,0
278,247,24,120,187,0,0,0,1,0,0,0,0,0,579,0,3,582,0
279,216,27,193,104,0,2,0,0,1,0,1,0,0,544,0,2,546,0
280,232,22,173,251,1,1,2,2,1,1,1,0,0,687,0,4,691,0
281,287,41,339,242,4,2,1,0,1,1,2,3,1,924,0,3,927,0
282,172,22,209,130,0,0,3,0,0,0,0,0,0,536,0,0,536,0
283,249,35,192,198,2,1,1,0,0,0,3,0,0,681,0,0,681,0
284,215,31,149,240,0,0,0,1,0,0,1,2,0,639,0,3,642,0
285,147,18,106,150,0,0,0,0,0,0,1,0,0,422,0,0,422,0
286,146,18,127,111,0,0,1,0,0,0,1,1,0,405,0,4,409,0
287,224,52,174,198,0,1,3,1,1,0,3,0,0,657,0,4,661,0
288,159,13,104,182,0,2,0,0,0,0,2,1,0,463,0,1,464,0
289,96,6,72,91,0,0,0,0,0,0,0,1,0,266,0,1,267,0
290,248,40,255,229,2,3,0,1,0,0,0,4,0,782,0,3,785,0
291,313,47,133,243,1,1,3,0,1,1,0,0,0,743,0,1,744,0
292,188,26,124,209,0,6,1,0,0,0,0,3,1,558,0,4,562,0
293,251,31,195,173,0,0,0,0,0,0,4,3,0,657,0,3,660,0
294,100,22,94,207,1,0,3,0,0,1,4,1,0,433,0,1,434,0
295,241,53,154,195,1,3,6,0,0,0,1,0,0,654,0,0,654,0
296,183,17,250,137,2,0,0,0,0,1,0,0,1,591,0,2,593,0
297,115,37,58,106,0,0,0,0,0,2,0,2,0,320,0,0,320,0
298,154,28,89,105,0,0,1,0,0,0,1,0,0,378,0,0,378,0
299,268,25,149,182,3,0,2,0,0,0,1,1,1,632,0,5,637,0
300,218,12,199,138,0,1,0,0,0,1,0,0,1,570,0,4,574,0
301,167,13,125,159,0,0,1,0,0,0,0,0,0,465,0,2,467,0
302,215,36,197,244,0,3,1,0,1,1,2,1,0,701,0,4,705,0
303,325,43,132,218,0,0,1,0,1,1,3,1,2,727,0,3,730,0
304,277,59,252,289,1,1,2,0,2,0,2,1,0,886,0,3,889,0
305,123,16,106,175,0,1,0,0,0,0,2,2,1,426,0,1,427,0
306,187,24,145,146,0,0,0,0,0,0,0,1,1,504,0,1,505,0
307,347,36,219,206,0,0,1,0,0,0,1,1,1,812,0,5,817,0
308,267,32,257,162,0,0,0,0,1,0,1,3,1,724,0,2,726,0
309,312,19,231,311,3,2,2,0,0,3,1,0,1,885,0,8,893,0
310,211,55,100,307,1,3,0,0,1,2,1,3,0,684,0,3,687,0
311,214,33,263,148,0,1,0,1,0,0,0,1,0,661,0,1,662,0
312,289,27,262,244,2,0,2,0,0,1,3,3,2,835,0,4,839,0
313,177,28,248,119,2,1,0,1,1,0,2,1,1,581,0,2,583,0
314,134,38,214,214,0,5,2,0,2,0,1,2,0,612,0,4,616,0
315,7 299,48,193,342,1,2,0,0,1,0,0,0,0,886,0,3,889,0
316,20,0,9,0,0,0,0,0,0,0,0,0,0,29,0,0,29,0
317,306,64,267,201,1,3,8,0,3,0,2,2,0,857,0,4,861,0
318,155,32,167,176,0,2,0,1,0,0,2,2,1,538,0,1,539,0
319,197,19,261,143,0,0,0,0,0,0,3,0,0,623,0,2,625,0
320,137,21,205,160,2,0,1,1,0,0,1,1,0,529,0,4,533,0
321,200,30,98,218,0,1,2,0,0,0,1,0,1,551,0,6,557,0
322,268,41,176,241,1,1,1,0,0,0,0,4,0,733,0,3,736,0
323,164,39,162,194,0,15,2,1,0,1,0,1,3,582,0,5,587,0
324,205,10,245,159,2,4,0,0,0,0,2,3,1,631,0,2,633,0
325,193,24,82,159,0,2,2,0,0,0,0,0,0,462,0,1,463,0
326,269,44,290,234,2,4,2,0,0,1,0,2,3,851,0,5,856,0
327,171,20,197,265,2,1,2,0,2,1,3,2,1,667,0,3,670,0
328,233,46,97,265,3,2,1,0,1,3,3,0,1,655,0,4,659,0
329,261,35,225,191,0,1,0,0,1,1,2,2,0,719,0,5,724,0
330,229,30,137,135,0,0,1,1,0,0,1,1,1,536,0,4,540,0
331,193,31,98,199,0,0,0,1,0,1,1,2,0,526,0,2,528,0
332,163,32,115,243,0,0,1,0,0,0,0,1,0,555,0,2,557,0
333,232,76,193,357,2,3,3,0,2,2,4,3,1,878,0,1,879,0
334,215,54,169,435,3,5,1,0,1,0,6,0,0,889,0,6,895,0
335,259,26,181,114,0,0,0,0,0,0,1,0,1,582,0,4,586,0
