Polling Station No,ANANDHARAJA. D.,KADARKARAIRAJ. A,KAMALA VEL SELVAN. P,NAINAR NAGENTHRAN,AJITH. M,ESAKKIRAJA. K,THANGA DURAI. P,MUTHUKANNU. C,VELMURUGAN. S,AJITHKUMAR. S,KALIRAJ. M,SARAVANAN. P,THANGA MARIAPPAN. J,NARMADA NANDHAKUMAR,MAHENDRAN. M,MAHESHKUMAR. M,MANIVASAGAM.S,MAYAKKANNAN. V,MUTHARASAN. M,RAMESH KUMAR. B,VIJENDRAN. G,VENKATESAN. M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
27,39,83,0,44,59,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,10,0,238,0,1,239,0
28,64,251,2,245,324,4,0,0,1,0,0,0,1,4,0,0,1,2,0,0,0,0,899,0,4,903,0
29,46,115,0,129,198,2,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,495,0,1,496,0
30,30,95,1,109,181,36,1,0,1,0,0,1,0,0,0,0,2,0,1,0,0,0,458,0,0,458,0
31,45,237,1,150,226,22,2,0,2,1,1,3,1,1,6,1,2,0,1,0,3,0,705,0,2,707,0
32,64,206,1,164,198,40,0,1,0,0,0,2,2,1,2,1,1,2,0,1,0,0,686,0,0,686,0
33,54,184,4,141,240,9,0,1,0,1,0,1,2,0,1,3,3,2,1,2,1,1,651,0,2,653,0
34,46,144,1,110,145,18,0,0,1,0,1,1,2,0,1,2,1,0,0,0,1,0,474,0,1,475,0
35,62,211,2,204,232,44,0,0,0,0,2,0,3,1,0,0,0,0,0,2,1,0,764,0,0,764,0
36,45,182,2,126,134,17,1,0,12,0,1,1,0,0,0,1,0,0,0,0,0,0,522,0,4,526,0
37,33,141,1,189,179,6,1,0,13,1,0,0,0,0,0,0,3,1,1,1,0,0,570,0,1,571,0
38,56,217,4,174,348,6,1,0,0,0,1,1,0,0,2,0,3,1,0,1,1,1,817,0,3,820,0
39,52,154,0,170,294,3,0,1,0,1,0,3,0,2,0,0,3,0,1,0,0,1,685,0,4,689,0
40,31,154,1,270,247,3,1,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,712,0,3,715,0
41,13,184,4,143,207,2,0,0,4,0,0,0,1,0,0,0,0,1,0,0,1,0,560,0,0,560,0
42,28,162,3,115,190,4,0,0,4,0,0,1,0,0,1,1,1,0,0,1,0,2,513,0,1,514,0
43,29,123,0,72,65,5,0,0,19,0,0,0,0,0,0,0,1,0,0,0,0,0,314,0,2,316,0
44,28,168,1,228,211,1,1,1,6,1,0,2,0,1,1,1,0,0,2,3,2,1,659,0,3,662,0
45,49,103,0,173,191,2,0,0,1,1,0,0,0,0,0,1,5,2,1,7,2,0,538,0,1,539,0
46,34,148,3,169,177,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,539,0,3,542,0
47,47,118,1,85,111,51,0,1,7,0,1,0,0,0,0,1,1,1,0,2,0,3,430,0,1,431,0
48,31,92,3,178,177,4,1,0,0,0,2,0,0,0,0,0,1,1,0,1,0,0,491,0,0,491,0
49,40,179,5,287,252,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,1,770,0,2,772,0
50,59,262,1,221,242,6,0,0,0,0,0,0,1,0,0,0,3,2,1,1,0,0,799,0,5,804,0
51,35,239,4,198,149,123,0,1,1,0,1,10,1,0,1,0,4,1,0,0,0,0,768,0,0,768,0
52,18,154,0,216,57,55,0,0,1,0,0,2,0,0,1,1,0,1,0,0,0,0,506,0,0,506,0
53,28,153,0,77,117,0,0,1,55,1,1,0,1,0,0,0,2,4,0,0,1,0,441,0,1,442,0
54,31,117,2,264,139,2,0,0,11,0,0,0,2,0,1,0,3,2,0,0,0,0,574,0,1,575,0
55,27,122,2,262,153,48,0,0,0,0,0,0,1,0,0,0,3,0,0,3,1,1,623,0,2,625,0
56,16,160,1,123,70,107,2,2,1,0,0,0,0,0,1,2,0,3,0,2,0,0,490,0,0,490,0
57,25,145,0,236,111,135,0,0,0,1,0,1,3,0,0,1,2,1,0,2,0,0,663,0,0,663,0
58,17,87,0,339,144,6,0,0,5,0,0,0,0,1,1,0,0,0,0,0,0,0,600,0,1,601,0
59,39,132,3,238,125,18,0,0,75,1,0,0,0,1,0,3,2,5,0,0,0,0,642,0,1,643,0
60,12,129,0,74,87,0,0,0,2,0,0,1,0,0,0,0,1,4,0,1,1,1,313,0,3,316,0
61,97,258,4,150,240,0,1,0,9,0,1,1,0,1,3,1,0,4,1,0,1,0,772,0,3,775,0
62,18,198,2,216,227,1,0,1,0,0,1,1,3,0,1,0,3,4,0,0,1,0,677,0,1,678,0
63,15,179,1,246,216,5,0,0,0,0,0,1,0,0,0,1,3,2,0,1,2,0,672,0,1,673,0
64,43,174,1,263,180,152,0,1,0,0,0,0,2,0,1,1,0,1,0,0,0,0,819,0,2,821,0
65,30,95,0,220,127,135,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,612,0,0,612,0
66,53,277,4,179,150,60,0,1,10,0,1,0,2,0,2,1,2,0,0,0,0,0,742,0,0,742,0
