Polling Station No,AADIRAJARAM,AYSHA,UDHAYANIDHI STALIN,MOHAMMED YASSER,IRFAN BASHA,SELVAM. D,AGNI AALVAR,ATHIMULAM,AYISHA,ARUMUGAM. C,KUMAR. M,SAAMY. S.K. DR,SEENIVASAN. L,SELVAM. K,SELVAM. K,SYEED LAYAK BHASHA,BHARATHKUMAR. G,MILANY. P,MIRZA SAFDER ALI,MOHAMED DHARIK. I,MOHAMED MEERA. A,RAJASEKAR. S,RAJESHKUMAR. K,VIJAYA KUMAR. B,SELVAM ( ALIAS ) VENKATESH,SELVAM ( ALIAS ) HARINARAYANAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
91,77,11,276,2,0,350,0,0,1,1,0,0,0,0,0,2,0,0,0,1,3,2,3,0,0,0,729,0,1,730,0
92,90,18,248,2,0,359,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,1,1,0,0,726,0,1,727,0
93,90,24,170,1,0,344,2,0,2,0,0,0,0,0,1,0,2,0,0,0,1,2,0,0,0,0,639,0,1,640,0
94,36,8,114,0,1,204,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,366,0,1,367,0
95,76,14,128,0,0,246,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,1,1,471,0,1,472,0
96,47,13,249,1,0,414,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,1,730,0,0,730,0
97,60,21,198,7,1,373,5,0,2,1,0,0,0,1,0,0,1,0,1,0,1,4,2,0,0,1,679,0,2,681,0
98,60,18,225,1,1,370,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,0,0,0,684,0,3,687,0
99,215,21,118,2,0,209,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,567,0,8,575,0
100,189,21,155,2,3,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,688,0,1,689,0
101,147,17,121,0,0,294,1,0,1,0,0,0,1,1,0,0,1,0,1,0,2,4,0,0,0,0,591,0,2,593,0
102,41,14,209,1,0,280,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,3,1,0,0,0,555,0,1,556,0
103,35,13,256,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,562,0,1,563,0
104,53,15,228,3,0,315,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,622,0,0,622,0
105,40,12,240,0,1,229,1,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,529,0,1,530,0
106,35,14,283,2,1,290,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,631,0,1,632,0
