Polling Station No,Candidate_1,. V . N A V ) K O D G M N D A L ( E . R D,. K . I M H S ) K K A T L N A ( H T N A H S,. A . N A) K N P AJ VA A( R A S,. G . I ) M K A M G T A ( V I S,. M ) . K N V A T V ( I S,I N A M U B N) K AM AP Y( I M W O S,. J B D .) HK TV NA AT S( A R P,. S ) . N K A L M D N T W A K H I S N V A ( M,) K . P L K . U M H M D L A D M A N (,. I N U M .) MD AN GI U( M U R A,. V . ) R D A N M I U ( K,. G . N A ) N D A N V I ( A R A S,. R ) . MD AN VI ( I S,. A ) . N D A N V I ( I S,. Y H T R O O ) D M. M N A I R ( A D N U S,. M . I H ) TD AN P I U( R I H T,. D . N A) JD AN RI A( G A N,. K . ) I D N N A I L ( A P,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
193,193,127,14,4,2,274,439,2,3,1,1,0,2,2,1,0,3,0,0,0,875,0,6,881
194,194,153,31,2,0,220,196,1,1,0,0,0,1,1,1,1,0,1,1,0,610,0,2,612
195,195,172,16,1,1,206,112,1,1,1,0,0,2,0,0,0,1,0,0,0,514,0,2,516
196,196,165,31,0,0,257,121,2,2,3,1,0,1,0,3,1,0,1,0,0,588,0,8,596
197,197,139,21,2,0,140,92,0,2,2,0,0,0,0,0,0,0,2,0,1,401,0,7,408
198,198,160,19,0,2,258,586,0,3,1,0,2,2,0,2,1,2,0,0,0,1038,0,2,1040
199,199,238,14,4,3,243,386,1,3,1,0,2,5,0,1,0,4,1,2,0,908,0,3,911
200,200,171,33,2,1,306,437,1,5,2,0,0,7,1,0,0,2,2,1,0,971,0,5,976
201,201,109,19,3,1,239,204,0,0,2,0,0,5,0,1,1,1,0,0,1,586,0,2,588
202,202,76,14,0,1,130,198,2,6,0,0,0,4,0,1,0,2,2,0,0,436,0,1,437
203,203,156,22,1,0,222,429,2,3,0,0,0,3,1,0,0,0,1,0,0,840,0,2,842
204,204,326,28,0,3,263,286,1,2,0,0,1,4,0,1,3,2,6,0,2,928,0,3,931
205,205,459,10,0,0,109,18,1,0,0,0,0,3,0,0,0,3,2,0,0,605,0,2,607
206,206,189,14,1,1,159,586,1,3,1,0,2,0,0,2,0,4,3,0,0,966,0,4,970
207,207,181,16,3,0,149,329,2,2,1,0,0,1,0,1,1,5,2,1,0,694,0,6,700
208,208,132,30,3,3,329,438,2,2,0,1,2,2,0,2,0,0,0,0,1,947,0,1,948
209,209,426,26,1,0,181,86,1,0,3,0,1,3,0,0,0,3,1,0,0,732,0,1,733
210,210,233,20,0,0,139,215,5,1,1,1,0,3,0,1,0,2,2,0,0,623,0,1,624
211,211,198,33,0,1,334,428,0,4,0,0,0,1,0,0,0,2,2,0,0,1003,0,2,1005
212,212,264,11,1,1,322,425,2,0,4,2,1,10,3,0,0,3,7,3,1,1060,0,6,1066
213,213,126,12,3,1,200,357,2,5,1,0,1,3,0,0,2,1,0,0,1,715,0,4,719
214,214,111,14,3,2,196,180,0,0,1,0,0,0,0,1,0,2,1,0,1,512,0,1,513
215,215,175,15,0,4,190,293,1,2,0,2,3,1,0,0,0,0,1,1,0,688,0,2,690
216,216,134,38,1,0,230,512,0,4,0,1,0,3,3,0,2,1,4,1,1,935,0,2,937
217,217,86,15,5,0,234,494,2,2,5,1,1,2,0,0,0,2,0,0,0,849,0,1,850
218,218,215,14,7,1,228,206,2,1,2,1,1,4,1,2,0,2,3,0,0,690,0,4,694
219,219,153,10,2,4,202,224,5,2,1,3,3,1,1,0,0,1,2,2,0,616,0,0,616
220,220,75,13,3,1,203,286,4,4,8,0,0,4,2,2,1,3,1,1,2,613,0,2,615
221,221,81,9,3,0,122,385,1,3,4,0,2,3,0,0,1,2,1,4,0,621,0,2,623
222,222,36,3,1,0,110,324,0,3,0,1,1,1,0,0,1,2,0,2,1,486,0,0,486
223,223,593,8,0,0,134,118,1,0,0,0,0,2,0,0,1,5,3,0,1,866,0,0,866
224,224,326,10,0,0,154,126,0,0,0,0,0,1,0,0,0,0,2,0,0,619,0,0,619
225,225,247,29,2,0,366,225,2,2,0,1,4,5,0,4,2,5,1,0,1,896,0,2,898
226,226,175,7,2,1,153,214,2,1,1,0,0,4,0,1,0,2,1,0,0,564,0,3,567
227,227,189,17,1,0,152,224,0,1,1,2,0,1,0,0,0,1,0,0,0,589,0,0,589
