Polling Station No,Candidate_1,UPPA K R S,NAYEKIHTRAK.P,AYINOS.A,DAHSRI.M.S,DASARP ARAHDIRIG.S,NAPPAYINUM.K,MAGAYAANIV.M.K,ALAMIV.K,NANNAK HTONIV.M.M,RAMUKHTONIV.M,UPPA.S,RAMUK NAHDAM.S,LAMAKJAR.S,NAHTANAGOL.M,RAMUK AYAJIV.U,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
59,287,161,12,1,0,0,0,0,266,0,0,2,0,0,0,729,729,0,8,737,0
60,353,148,15,0,0,0,1,0,281,0,0,0,0,1,1,800,800,0,4,804,0
61,26,620,4,0,0,0,0,1,152,0,0,1,0,0,1,805,805,0,2,807,0
62,39,640,4,1,0,0,0,1,164,1,0,0,0,0,0,850,850,0,3,853,0
63,60,439,7,0,1,0,0,2,366,1,1,1,0,0,1,879,879,0,1,880,0
64,108,350,16,0,0,0,0,2,231,0,0,0,0,0,1,708,708,0,2,710,0
65,39,582,3,1,0,0,0,0,218,0,0,1,0,1,1,846,846,0,0,846,0
66,56,631,6,0,1,0,0,0,141,0,0,0,0,0,0,835,835,0,3,838,0
67,195,204,9,0,0,1,1,0,203,2,0,1,0,0,0,616,616,0,0,616,0
68,140,394,9,0,0,0,0,2,160,0,0,0,0,0,1,706,706,0,0,706,0
69,35,686,6,0,0,0,0,0,85,0,0,0,1,0,0,813,813,0,2,815,0
70,125,77,3,0,0,0,0,0,101,0,0,0,0,0,1,307,307,0,1,308,0
71,202,118,10,1,0,0,0,0,180,0,0,0,0,0,0,511,511,0,6,517,0
72,66,519,4,0,0,0,0,0,185,1,0,1,0,0,2,778,778,0,3,781,0
73,68,514,4,0,0,0,0,1,154,0,0,0,0,1,4,746,746,0,0,746,0
74,150,392,14,0,0,0,0,0,164,1,0,2,0,0,0,723,723,0,2,725,0
75,185,330,13,2,0,0,0,0,256,0,1,0,0,0,1,788,788,0,1,789,0
76,182,414,10,0,0,0,0,1,323,0,1,1,0,0,0,932,932,0,3,935,0
77,141,398,13,0,1,1,1,0,278,0,0,0,1,1,1,836,836,0,4,840,0
78,234,222,12,0,0,1,2,0,314,1,0,0,0,1,0,787,787,0,1,788,0
79,277,159,13,1,0,1,0,0,264,0,0,1,0,0,0,716,716,0,2,718,0
80,299,133,13,0,0,0,0,0,318,0,0,2,0,0,1,766,766,0,3,769,0
81,67,313,3,0,1,0,0,1,150,0,1,0,0,0,0,536,536,0,0,536,0
82,108,237,11,0,2,1,0,3,310,0,1,0,0,0,1,674,674,0,0,674,0
83,181,222,19,1,0,0,1,0,393,1,4,2,0,0,4,828,828,0,5,833,0
84,240,251,19,1,0,0,1,2,429,1,0,0,0,0,1,945,945,0,2,947,0
85,184,251,17,0,2,0,0,0,259,0,1,0,0,1,1,716,716,0,0,716,0
86,165,162,7,0,0,1,0,1,335,0,1,0,1,0,0,673,673,0,2,675,0
87,155,126,8,0,0,0,2,0,173,0,0,1,0,0,1,466,466,0,4,470,0
88,95,295,9,0,0,0,0,3,327,0,0,0,0,0,1,730,730,0,0,730,0
89,145,177,10,0,0,0,0,3,341,1,0,2,0,0,0,679,679,0,1,680,0
90,146,330,19,0,0,0,0,1,400,0,0,0,1,0,3,900,900,0,5,905,0
91,58,585,11,0,0,0,1,0,193,0,0,0,0,0,1,849,849,0,7,856,0
92,93,365,21,0,0,0,0,1,295,1,0,0,0,1,0,777,777,0,2,779,0
93,89,225,9,0,0,0,1,0,315,1,0,1,0,0,0,641,641,0,3,644,0
94,137,157,14,0,2,1,0,0,262,1,0,1,0,0,0,575,575,0,4,579,0
95,161,260,14,3,1,1,0,2,370,3,2,0,1,0,1,819,819,0,1,820,0
96,192,258,13,2,0,1,0,1,386,0,1,1,0,0,1,856,856,0,3,859,0
97,203,461,10,1,0,0,0,1,292,0,0,1,0,1,1,971,971,0,1,972,0
98,99,379,8,1,0,0,1,0,297,1,0,0,0,1,2,789,789,0,0,789,0
99,139,265,13,0,0,0,0,2,302,0,0,2,1,0,1,725,725,0,2,727,0
100,79,485,9,0,0,0,2,0,288,1,0,0,0,0,0,864,864,0,0,864,0
101,207,225,9,1,2,0,0,1,592,1,1,1,0,1,2,1043,1043,0,3,1046,0
102,56,359,5,3,0,0,0,1,304,0,1,0,0,1,0,730,730,0,2,732,0
103,33,515,5,1,0,0,0,0,138,0,0,0,0,0,1,693,693,0,0,693,0
104,21,440,3,1,1,0,0,1,119,0,0,0,0,0,0,586,586,0,1,587,0
105,24,326,3,0,0,0,0,1,176,0,1,0,0,0,0,531,531,0,0,531,0
106,35,600,3,0,0,1,0,0,153,0,0,0,0,0,1,793,793,0,1,794,0
107,52,582,11,0,0,0,0,0,167,0,0,0,0,0,0,812,812,0,0,812,0
108,26,549,6,2,1,0,0,0,206,0,1,0,0,0,4,795,795,0,2,797,0
109,44,580,1,0,0,0,0,1,166,0,0,0,0,1,1,794,794,0,0,794,0
110,35,663,3,0,0,1,0,1,168,1,0,0,0,0,1,873,873,0,6,879,0
111,12,467,5,0,0,0,0,0,155,0,0,0,0,0,0,639,639,0,1,640,0
112,152,196,16,0,1,0,1,0,324,0,0,1,0,1,0,692,692,0,1,693,0
113,79,313,5,0,0,0,0,1,282,2,0,0,0,0,1,683,683,0,4,687,0
114,26,361,3,0,0,0,0,1,204,0,0,0,0,0,1,596,596,0,3,599,0
115,98,291,3,0,0,0,0,1,186,0,0,0,1,0,1,581,581,0,3,584,0
116,133,362,5,1,0,0,0,1,117,0,0,0,0,0,0,619,619,0,2,621,0
117,344,343,5,2,1,1,0,0,188,1,0,2,0,0,1,888,888,0,1,889,0
118,76,388,8,2,0,0,0,2,155,0,0,0,2,0,0,633,633,0,4,637,0
119,225,214,13,0,1,0,1,1,236,0,0,0,0,0,0,691,691,0,1,692,0
120,281,216,17,0,0,0,0,0,227,1,1,0,0,0,1,744,744,0,8,752,0
121,177,138,12,0,0,0,0,2,207,1,0,0,0,0,0,537,537,0,5,542,0
122,166,225,11,0,0,0,1,0,235,0,1,0,0,0,1,640,640,0,3,643,0
123,119,253,19,0,0,0,0,0,249,0,0,0,0,0,1,641,641,0,8,649,0
124,142,163,15,0,1,0,0,0,249,1,0,0,0,1,3,575,575,0,2,577,0
125,86,125,3,0,3,0,0,2,218,0,0,0,0,1,4,442,442,0,0,442,0
126,190,179,9,1,0,0,0,0,254,0,1,0,0,0,1,635,635,0,4,639,0
127,275,212,23,1,0,0,0,1,352,0,2,0,0,0,0,866,866,0,5,871,0
128,199,162,16,1,0,2,0,3,338,0,0,0,0,0,1,722,722,0,4,726,0
129,254,184,14,2,1,1,0,0,419,4,0,0,0,0,0,879,879,0,2,881,0
130,139,88,15,1,0,0,0,0,176,1,0,0,0,0,1,421,421,0,3,424,0
131,125,105,13,1,0,0,0,0,185,0,0,0,0,0,0,429,429,0,0,429,0
132,260,131,17,0,0,0,0,1,344,1,0,0,2,2,4,762,762,0,8,770,0
133,207,199,16,0,2,0,0,1,235,0,2,0,0,0,0,662,662,0,3,665,0
134,108,105,15,1,0,0,0,0,137,0,0,0,1,0,0,367,367,0,0,367,0
135,186,170,17,0,2,0,0,2,271,0,0,0,0,0,1,649,649,0,3,652,0
136,191,222,24,0,1,0,1,2,358,2,1,1,0,0,1,804,804,0,7,811,0
137,181,174,17,0,1,0,0,2,322,1,0,1,0,1,0,700,700,0,3,703,0
138,156,256,25,0,0,0,0,1,297,2,1,1,0,0,1,740,740,0,0,740,0
139,198,155,21,0,0,0,0,2,228,1,1,1,0,0,0,607,607,0,0,607,0
140,281,183,23,0,1,0,0,2,372,0,0,0,0,0,1,863,863,0,6,869,0
