Polling Station No,R.D. SHEKAR,S. VETRI THAMIZHAN,VETRI VEL SELVAM,ASHLIN BELMEN .A.S,M. GEETA,DR.R. SARAVANA PERUMAL,SIVAKUMAR.V,S. SURESHKUMAR,J. SEBASTIN,M. THILAGABAMA,K.M. DEVAN,S. MALATHI,A. RAJARAM,VIJAY,D.V. VENUGOPAL,C. JOSEPH VIJAY,AGNI AALVAR,AMALA.R,AZARUTHEEN.M,P. ESAKKI MUTHU,E. UDHAYA KUMAR,M. KADHIRAVAN,P. GUNASEKAR,B. SATHISH KUMAR,SATHISH.B,P. THANGAMANI,M. TAMILSELVAM,H. DHANASEKAR,M.I. THAHIRA BANU,NIVETHA,B. BALAJI,P. PONRAJ,BOWDHARAJ,DR.D. MADAN,DR.G. MOORTHY,S. MICHAEL,S. RAMESH,V. RAJI,S. RAJESH KUMAR,REEGAN PRABHU,G. RUTHRA KUMAR,VIJAY. G,S. VISHNU VARTHAN,B. VENKATESAN,R. JAYASEELAN,S. JOSEPH,M. JOSEPH,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
72,185,21,0,0,0,0,0,0,0,16,0,0,1,1,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,523,0,3,526,0
73,209,17,1,0,0,0,0,0,0,31,0,0,2,1,0,473,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,738,0,2,740,0
74,207,11,0,0,0,0,0,0,1,28,1,0,0,1,0,373,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,629,0,5,634,0
75,126,8,0,2,0,0,0,0,0,19,0,0,0,1,0,274,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,435,0,0,435,0
76,243,27,0,0,0,0,0,0,0,45,0,0,0,0,1,466,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,786,0,0,786,0
77,198,21,0,0,0,0,0,0,0,25,0,0,1,4,1,422,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,679,0,4,683,0
78,252,21,1,0,0,0,0,0,1,43,0,0,0,1,0,476,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,798,0,3,801,0
79,266,23,0,0,0,0,0,0,0,34,0,0,1,0,1,414,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,741,0,3,744,0
80,184,11,0,0,0,0,0,1,2,29,0,0,0,0,1,345,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,580,0,0,580,0
81,212,7,1,0,0,0,0,0,1,50,0,0,1,2,1,332,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,609,0,3,612,0
82,222,11,0,0,0,0,0,0,0,40,0,0,2,0,0,408,1,0,0,1,0,0,0,0,0,1,1,0,0,0,3,0,1,0,1,1,0,2,0,0,4,0,0,0,0,0,0,699,0,3,702,0
83,151,26,0,0,1,0,0,0,0,45,0,0,3,0,1,384,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,2,0,0,0,1,0,621,0,1,622,0
84,106,9,1,0,0,0,0,1,0,26,0,0,1,0,0,304,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,451,0,2,453,1
85,207,29,0,0,0,0,1,0,1,33,0,0,2,1,0,476,3,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,2,0,764,0,7,771,0
86,237,20,1,1,0,0,0,0,0,8,0,0,0,1,0,456,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,729,0,4,733,0
87,319,12,0,0,0,2,0,0,0,32,0,0,1,0,0,459,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,831,0,0,831,0
88,211,16,1,0,0,0,0,0,0,32,2,0,1,0,1,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,666,0,4,670,0
89,231,11,0,0,0,0,0,0,0,10,0,0,0,0,0,335,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,590,0,1,591,0
90,143,21,0,0,0,0,0,0,1,26,0,0,0,3,1,259,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,458,0,3,461,0
91,138,16,1,0,0,0,0,0,0,21,0,0,2,0,1,414,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,601,0,1,602,0
92,238,7,1,3,0,0,0,0,0,19,2,1,0,0,0,522,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,803,0,0,803,0
93,262,24,0,0,0,0,0,0,0,43,0,0,0,2,0,425,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,761,0,2,763,0
94,168,26,0,0,0,0,0,0,2,11,0,1,0,1,0,353,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,2,570,0,0,570,0
95,254,33,1,0,0,0,0,0,1,34,0,0,2,2,0,526,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,857,0,1,858,0
96,199,19,0,0,0,1,0,0,0,27,0,0,1,1,0,372,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,621,0,4,625,0
